12/04/2020, 15:27:39	12/03/2020, 20:00:47	BusinessJournal	Oil field services company files for bankruptcy as PPP runs dry	https://www.bizjournals.com/sanantonio/news/2020/12/03/ppp-recipient-files-for-bankruptcy.html?ana=brss_1028	PPP money got this oil company through a difficult spring and summer, but didn't go far enough to make it through the year.	(Bankruptcy)	Not Computed		-
12/04/2020, 15:27:39	12/03/2020, 19:54:13	BusinessJournal	Frac sand co. Hi-Crush names new top leadership after emerging from bankruptcy	https://www.bizjournals.com/houston/news/2020/12/03/frac-sand-hi-crush-makes-leadership-changes.html?ana=brss_1028	The leadership changes took effect Nov. 30, less than two months after the company emerged from bankruptcy.	(Bankruptcy)	Not Computed		-
12/04/2020, 15:27:39	12/03/2020, 19:20:47	BusinessJournal	Businesses 'just trying to close the books on 2020' as bankruptcy boom looms	https://www.bizjournals.com/pittsburgh/news/2020/12/03/bankruptcy-boom-looms.html?ana=brss_1028	Big 3Q increase of sole proprietors filing for bankruptcy in Pittsburgh region.	(Bankruptcy)	Not Computed	('2020', 'DATE')	-
12/04/2020, 15:27:39	12/03/2020, 16:32:30	BusinessJournal	Exterro buys AccessData, eyes 2021 for IPO	https://www.bizjournals.com/portland/news/2020/12/03/exterro-buys-accessdata-eyes-2021-for-ipo.html?ana=brss_1028	Terms of the acquisition were not disclosed, but it is reported to be nine figures. As a result, Exterro will have 500 global employees and 3,000 customers.	(M&A /IPOs)	Not Computed	('Exterro', 'ORG')('AccessData', 'ORG')('2021', 'CARDINAL')	-
12/04/2020, 15:27:39	12/03/2020, 13:16:35	BusinessJournal	3M will cut 2,900 jobs in restructuring	https://www.bizjournals.com/twincities/news/2020/12/03/3m-will-cut-2-900-jobs-restructuring.html?ana=brss_1028	3M Co. said Thursday it planned to cut 2,900 positions, the latest step by the manufacturer to trim costs as it adjusts to the upheaval brought on by the Covid-19 pandemic.	(Bankruptcy)	Not Computed	('3', 'CARDINAL')('2,900', 'CARDINAL')	-
12/04/2020, 15:27:39	12/03/2020, 13:08:02	BusinessJournal	The week in bankruptcies: Durham boutique goes for Chapter 7	https://www.bizjournals.com/triangle/news/2020/12/03/durham-boutique-retailer-files-bankruptcy.html?ana=brss_1028	A resale boutique in Durham has filed for bankruptcy.	(Bankruptcy)	Not Computed	('The week', 'DATE')('Durham boutique', 'PERSON')('Chapter 7', 'LAW')	-
12/04/2020, 15:27:39	12/03/2020, 13:00:28	BusinessJournal	Men's Wearhouse parent Tailored Brands emerges from bankruptcy as private co.	https://www.bizjournals.com/houston/news/2020/12/03/tailored-brands-emerges-from-bankruptcy.html?ana=brss_1028	Tailored Brands is now a private company, and it filed a Form 15 with the U.S. Securities and Exchange Commission deregistering its common stock on Dec. 1.	(Bankruptcy)	Not Computed	("Men's Wearhouse", 'ORG')('Tailored Brands', 'PERSON')	-
12/04/2020, 15:27:39	12/03/2020, 12:40:49	BusinessJournal	The week in bankruptcies: A Baltimore trucking company	https://www.bizjournals.com/baltimore/news/2020/12/03/the-week-in-bankruptcies-riley-bulk-transport.html?ana=brss_1028	For the year, Baltimore has recorded 53 business bankruptcy filings.	(Bankruptcy)	Not Computed	('The week', 'DATE')('Baltimore', 'GPE')	-
12/04/2020, 15:27:39	12/03/2020, 11:57:33	BusinessJournal	The week in bankruptcies: National Roofing & Restoration LLC	https://www.bizjournals.com/nashville/news/2020/12/03/the-week-in-bankruptcies-national-roofing-restoration-llc.html?ana=brss_1028	This week in Nashville business bankruptcies includes National Roofing & Restoration LLC. For the year, Nashville has recorded 56 business bankruptcy filings.	(Bankruptcy)	Not Computed	('The week', 'DATE')('National Roofing & Restoration', 'ORG')	-
12/04/2020, 15:27:39	12/02/2020, 22:28:38	BusinessJournal	Denver oil company restructures, Oklahoma assets being merged with Houston company	https://www.bizjournals.com/denver/news/2020/12/02/fourpoint-energy-maverick-resources-restructuring.html?ana=brss_1028	The company surrenders its operating Anadarko Basin assets; here's what it's keeping.	(M&A /Bankruptcy)	Not Computed	('Denver', 'GPE')('Oklahoma', 'GPE')('Houston', 'GPE')	-
12/04/2020, 15:27:39	12/02/2020, 22:00:00	BusinessJournal	Five Golden Corrals in Central Florida to be closed or sold amid Ch. 11 bankruptcy reorganization	https://www.bizjournals.com/orlando/news/2020/12/02/golden-corral.html?ana=brss_1028	"These are phenomenal locations," expert said.	(Bankruptcy)	Not Computed	('Five', 'CARDINAL')('Golden Corrals', 'ORG')('Florida', 'GPE')('11', 'CARDINAL')	-
12/04/2020, 15:27:39	12/02/2020, 20:55:25	BusinessJournal	Seadrill Partners files for bankruptcy protection in Houston with $3B in debt	https://www.bizjournals.com/houston/news/2020/12/02/seadrill-partners-bankruptcy.html?ana=brss_1028	Seadrill Partners is an affiliate of London-based offshore driller Seadrill Ltd., which is not part of this bankruptcy. However, Seadrill Ltd. emerged from its own multibillion-dollar bankruptcy in July 2018.	(Bankruptcy)	Not Computed	('Seadrill Partners', 'ORG')('Houston', 'GPE')('3B', 'MONEY')	-
12/04/2020, 15:27:39	12/02/2020, 18:48:22	BusinessJournal	Airbnb seeks up to $2.8 billion in IPO	https://www.bizjournals.com/sanjose/news/2020/12/02/airbnb-seeks-up-to-2-8-billion-in-ipo.html?ana=brss_1028	The mega-unicorn, however, is also facing a steep drop in revenue amid Covid-19 and losses that have more than doubled in the first nine months this year.	(IPOs)	Not Computed	('Airbnb', 'GPE')('up to $2.8 billion', 'MONEY')	-
